lat,lon,sunrise,sunset,solar_noon,day_length_sec,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day_length_hr
33.83,-113.82,2026-05-22T05:28:05-07:00,2026-05-22T19:35:53-07:00,2026-05-22T12:31:59-07:00,50868,2026-05-22T05:01:25-07:00,2026-05-22T20:02:33-07:00,2026-05-22T04:27:14-07:00,2026-05-22T20:36:44-07:00,2026-05-22T03:50:29-07:00,2026-05-22T21:13:29-07:00,14.13
33.83,-113.32,2026-05-22T05:26:05-07:00,2026-05-22T19:33:53-07:00,2026-05-22T12:29:59-07:00,50868,2026-05-22T04:59:25-07:00,2026-05-22T20:00:33-07:00,2026-05-22T04:25:14-07:00,2026-05-22T20:34:44-07:00,2026-05-22T03:48:29-07:00,2026-05-22T21:11:29-07:00,14.13
33.83,-112.82,2026-05-22T05:24:05-07:00,2026-05-22T19:31:53-07:00,2026-05-22T12:27:59-07:00,50868,2026-05-22T04:57:25-07:00,2026-05-22T19:58:33-07:00,2026-05-22T04:23:14-07:00,2026-05-22T20:32:44-07:00,2026-05-22T03:46:29-07:00,2026-05-22T21:09:29-07:00,14.13
33.83,-112.32,2026-05-22T05:22:05-07:00,2026-05-22T19:29:53-07:00,2026-05-22T12:25:59-07:00,50868,2026-05-22T04:55:25-07:00,2026-05-22T19:56:33-07:00,2026-05-22T04:21:14-07:00,2026-05-22T20:30:44-07:00,2026-05-22T03:44:29-07:00,2026-05-22T21:07:29-07:00,14.13
33.83,-111.82,2026-05-22T05:20:05-07:00,2026-05-22T19:27:53-07:00,2026-05-22T12:23:59-07:00,50868,2026-05-22T04:53:25-07:00,2026-05-22T19:54:33-07:00,2026-05-22T04:19:14-07:00,2026-05-22T20:28:44-07:00,2026-05-22T03:42:29-07:00,2026-05-22T21:05:29-07:00,14.13
33.83,-111.32,2026-05-22T05:18:05-07:00,2026-05-22T19:25:53-07:00,2026-05-22T12:21:59-07:00,50868,2026-05-22T04:51:25-07:00,2026-05-22T19:52:33-07:00,2026-05-22T04:17:14-07:00,2026-05-22T20:26:44-07:00,2026-05-22T03:40:29-07:00,2026-05-22T21:03:29-07:00,14.13
33.83,-110.82,2026-05-22T05:16:05-07:00,2026-05-22T19:23:53-07:00,2026-05-22T12:19:59-07:00,50868,2026-05-22T04:49:25-07:00,2026-05-22T19:50:33-07:00,2026-05-22T04:15:14-07:00,2026-05-22T20:24:44-07:00,2026-05-22T03:38:29-07:00,2026-05-22T21:01:29-07:00,14.13
33.83,-110.32,2026-05-22T05:14:05-07:00,2026-05-22T19:21:53-07:00,2026-05-22T12:17:59-07:00,50868,2026-05-22T04:47:25-07:00,2026-05-22T19:48:33-07:00,2026-05-22T04:13:14-07:00,2026-05-22T20:22:44-07:00,2026-05-22T03:36:29-07:00,2026-05-22T20:59:29-07:00,14.13
33.83,-109.82,2026-05-22T05:12:05-07:00,2026-05-22T19:19:53-07:00,2026-05-22T12:15:59-07:00,50868,2026-05-22T04:45:25-07:00,2026-05-22T19:46:33-07:00,2026-05-22T04:11:14-07:00,2026-05-22T20:20:44-07:00,2026-05-22T03:34:29-07:00,2026-05-22T20:57:29-07:00,14.13
33.83,-109.32,2026-05-22T05:10:05-07:00,2026-05-22T19:17:53-07:00,2026-05-22T12:13:59-07:00,50868,2026-05-22T04:43:25-07:00,2026-05-22T19:44:33-07:00,2026-05-22T04:09:14-07:00,2026-05-22T20:18:44-07:00,2026-05-22T03:32:29-07:00,2026-05-22T20:55:29-07:00,14.13
33.83,-108.82,2026-05-22T05:08:05-07:00,2026-05-22T19:15:53-07:00,2026-05-22T12:11:59-07:00,50868,2026-05-22T04:41:25-07:00,2026-05-22T19:42:33-07:00,2026-05-22T04:07:14-07:00,2026-05-22T20:16:44-07:00,2026-05-22T03:30:30-07:00,2026-05-22T20:53:29-07:00,14.13
34.33,-114.82,2026-05-22T05:30:55-07:00,2026-05-22T19:41:04-07:00,2026-05-22T12:35:59-07:00,51009,2026-05-22T05:04:02-07:00,2026-05-22T20:07:56-07:00,2026-05-22T04:29:32-07:00,2026-05-22T20:42:27-07:00,2026-05-22T03:52:20-07:00,2026-05-22T21:19:38-07:00,14.1692
34.33,-114.32,2026-05-22T05:28:55-07:00,2026-05-22T19:39:04-07:00,2026-05-22T12:33:59-07:00,51009,2026-05-22T05:02:02-07:00,2026-05-22T20:05:56-07:00,2026-05-22T04:27:32-07:00,2026-05-22T20:40:27-07:00,2026-05-22T03:50:20-07:00,2026-05-22T21:17:38-07:00,14.1692
